Storm # ,Date ,Time ,Lat ,Lon ,"Max
Winds
(kt) ","Landfall
State ","Storm
Names "
25,1969-10-15,1200Z,32.7N,73.5W,45,NC,Kara 
1970s ,,,,,,,
2,1970-07-22,1000Z,29.7N,85.3W,40,FL,Becky 
Break ,,,,,,,
1990s ,,,,,,,
15,10/11/1990*,0600Z,26.7,82.6,60,FL,Marco 
3,1991-08-20,0130Z,44.1,69.1,60,ME,Bob 
7,1992-09-25,2200Z,37.8,75.5,55,VA,Danielle 
2,1993-06-20,0900Z,27.1,97.4,35,TX,Arlene 
1,1994-07-03,1500Z,30.4,86.5,55,FL,Alberto 
3,1994-08-16,0000Z,30,85.6,50,FL,Beryl 
12,1994-11-15,1300Z,24.6,81.7,45,FL,Gordon 
12,1994-11-16,1300Z,26.5,81.9,45,FL,Gordon 
1,1995-06-05,1400Z,29.9,84.4,60,FL,Allison 
1,1995-06-05,1500Z,30.1,84.2,55,FL,Allison 
4,1995-07-31,0200Z,29.2,95.3,40,TX,Dean 
11,1995-08-23,1800Z,27,80.2,35,FL,Jerry 
1,1996-06-20,0000Z,34.7,76.4,35,NC,Arthur 
5,9/2/1996*,1200Z,40.5,68.3,55,MA,Edouard 
10,1996-10-08,0330Z,30,83.9,60,FL,Josephine 
3,1998-08-22,1000Z,27.8,97.1,40,TX,Charley 
6,1998-09-11,0600Z,28.2,96.9,45,TX,Frances 
8,1998-09-20,0500Z,29.1,90.9,35,LA,Hermine 
15,1998-11-05,1100Z,26.2,81.9,55,FL,Mitch 
5,1999-09-04,2100Z,34.8,76.5,60,NC,Dennis 
10,1999-09-21,1700Z,25.9,81.7,50,FL,Harvey 
2000s ,,,,,,,
11,2000-09-18,0300Z,29.3,83.2,55,FL,Gordon 
12,2000-09-22,1200Z,30.5,86.6,35,FL,Helene 
1,2001-06-05,2100Z,28.9,95.3,45,TX,Allison 
3,2001-08-06,0500Z,30.4,86.3,60,FL,Barry 
8,2001-09-14,1200Z,27.1,82.6,60,FL,Gabrielle 
13,11/5/2001*,0600Z,23.1,79.7,35,FL,Michelle 
2,2002-08-05,0200Z,29.4,89.3,35,LA,Bertha 
5,2002-09-03,0045Z,29.4,81.1,35,FL,Edouard 
6,2002-09-07,0900Z,28.5,96.3,50,TX,Fay 
8,9/11/2002*,0000Z,35.5,74.7,45,NC,Gustav 
9,2002-09-14,0800Z,29.1,89.1,50,LA,Hanna 
9,2002-09-14,1500Z,30.4,88.4,50,MS/AL,Hanna 
10,2002-09-26,0600Z,29.1,90.3,55,LA,Isidore 
12,2002-10-11,1700Z,33,79.5,35,SC,Kyle 
12,2002-10-11,2200Z,33.9,78.4,35,NC,Kyle 
3,2003-06-30,1900Z,29.3,91,50,LA,Bill 
8,8/16/2003#,0600Z,25.6,96.2,35,TX,Erika 
11,2003-08-31,1100Z,29,95.1,35,TX,Grace 
2,2004-08-12,1400Z,29.6,85.1,40,FL,Bonnie 
6,2004-09-06,1800Z,30.1,84,50,FL,Frances 
8,2004-08-31,0600Z,41.5,70.9,35,MA,Hermine 
14,2004-10-10,1100Z,29.2,91,35,LA,Matthew 
1,2005-06-11,1900Z,30.3,87.5,50,FL,Arlene 
3,2005-07-06,0900Z,30.2,89.5,45,MS,Cindy 
5,7/20/2005#,1200Z,24.8,97.6,45,TX,Emily 
18,9/21/2005*,0000Z,24.1,82.7,55,FL,Rita 
22,2005-10-05,2300Z,30.4,81.4,45,FL,Tammy 
1,2006-06-13,1630Z,29.9,83.7,40,FL,Alberto 
3,2006-07-21,0645Z,41.3,70.1,45,MA,Beryl 
6,2006-08-30,0300Z,24.9,80.6,40,FL,Ernesto 
6,2006-08-30,0500Z,25.2,80.7,40,FL,Ernesto 
6,2006-09-01,0340Z,33.9,78.1,60,NC,Ernesto 
1,5/10/2007*,1200Z,30.1,79.9,35,GA,Andrea 
2,6/2/2007*,0600Z,25.1,84.6,35,FL,Barry 
7,2007-09-09,1530Z,34.8,76.4,50,NC,Gabrielle 
5,2008-08-05,1200Z,29.6,94.2,55,TX,Edouard 
6,2008-08-18,2030Z,24.5,81.8,50,FL,Fay 
6,2008-08-19,0845Z,25.9,81.6,55,FL,Fay 
6,2008-08-21,1900Z,29.3,81.1,55,FL,Fay 
6,2008-08-23,0615Z,29.8,84.7,45,FL,Fay 
8,2008-09-06,0720Z,33.8,78.7,60,NC/SC,Hanna 
4,2009-08-17,0530Z,30.4,86.5,40,FL,Claudette 
11,11/10/2009*,0000Z,28.9,88.7,50,LA,Ida 
2010s ,,,,,,,
1,7/1/2010#,0000Z,24.3,97.3,40,TX,Alex 
